"uuid","title","url","publication_name","publication_image_url","date","sentiment","publication_location","amplification","author"
"6cb2b304-d98d-42d5-adfc-4d3a1ade84ff","African NFT Collection Masks of Ether Is a Revolution","https://apnews.com/press-release/business-wire/technology-blockchain-c8262009eca14b7484fef78ad1acc843","AP News","","2021-10-05 09:28:52","positive","United States","0",""
"68660d77-d423-4295-8c9b-c174a2d4776c","African NFT Collection Masks of Ether Is a Revolution","https://www.financialbuzz.com/african-nft-collection-masks-of-ether-is-a-revolution/","Financialbuzz.com","https://analyst-images.cdn.airpr.com/logos/images/008/591/885/thumb/financial_buzz.jpeg","2021-10-05 05:34:07","positive","United States","0",""
"b844c6bc-3c19-4e6e-9735-2382aef0f923","African NFT Collection Masks of Ether Is a Revolution","https://www.crypto-reporter.com/newsfeed/african-nft-collection-masks-of-ether-is-a-revolution-18602/","Crypto Reporter","","2021-10-05 05:05:47","positive","United States","0",""
"9d470865-aa6b-454c-8656-bdea9f4adf79","African NFT Collection Masks of Ether Is a Revolution - UKTN (UK Tech News)","https://www.uktech.news/technology_news/african-nft-collection-masks-of-ether-is-a-revolution","UKTN","","2021-10-05 05:00:35","positive","United Kingdom","0",""
"3e0f9042-206f-4d22-9e16-5b8c10e2d537","African NFT Collection Masks of Ether Is a Revolution","https://www.wicz.com/story/44887193/african-nft-collection-masks-of-ether-is-a-revolution","FOX 40 WICZ TV","https://analyst-images.cdn.airpr.com/logos/images/014/480/464/thumb/50c4a209ed57946f890b8b2790eb3a85_400x400.png","2021-10-05 03:38:10","positive","United States","0",""
"33269774-ffb8-461a-97c7-97f12639ece1","African NFT Collection Masks of Ether Is a Revolution","http://business.kanerepublican.com/kanerepublican/news/read/41876211/african_nft_collection_masks_of_ether_is_a_revolution","Kane Republican Online - Business Wire News Releases","","2021-10-05 03:23:51","positive","United States","0",""
"9d10ac77-d810-478c-8172-3638f1269951","African NFT Collection Masks of Ether Is a Revolution","http://business.observernewsonline.com/observernewsonline/news/read/41876211","Observer News Online","https://analyst-images.cdn.airpr.com/logos/images/014/892/328/thumb/-DwyUb9e_400x400.jpg","2021-10-05 03:21:48","positive","United States","0",""
"7a010420-a64a-4fa8-90f2-9d872d3080e8","African NFT Collection Masks of Ether Is a Revolution","http://business.times-online.com/times-online/news/read/41876211/african_nft_collection_masks_of_ether_is_a_revolution","Times-Online","","2021-10-05 03:21:18","positive","United States","0",""
"0375d5e2-2c64-449e-b71a-61d885206335","African NFT Collection Masks of Ether Is a Revolution","http://business.smdailypress.com/smdailypress/news/read/41876211/african_nft_collection_masks_of_ether_is_a_revolution","St. Marys Daily Press","https://analyst-images.cdn.airpr.com/logos/images/014/438/642/thumb/-DwyUb9e_400x400.jpg","2021-10-05 03:20:55","positive","United States","0",""
"678e012e-44c9-48de-a44a-8bfbce295edc","African NFT Collection Masks of Ether Is a Revolution","http://business.starkvilledailynews.com/starkvilledailynews/news/read/41876211/african_nft_collection_masks_of_ether_is_a_revolution","Starkville Daily News","https://analyst-images.cdn.airpr.com/logos/images/017/588/879/thumb/g7wA8Gl4_400x400.jpg","2021-10-05 03:20:54","positive","United States","0",""
